,school_name,state_name_public_school_latest_available_year,full-time_equivalent_fte_teachers_public_school_2012-13,full-time_equivalent_fte_teachers_public_school_2011-12,full-time_equivalent_fte_teachers_public_school_2010-11,pupil/teacher_ratio_public_school_2012-13,pupil/teacher_ratio_public_school_2011-12,pupil/teacher_ratio_public_school_2010-11,school_id_-_nces_assigned_public_school_latest_available_year
192,ALILA,California,25,25,,26.56,25.92,,61176010446
193,ALISAL COMMUNITY,California,24,23,,29.71,28.91,,60195000082
194,ALISAL ELEMENTARY,California,26.42,30.03,,22.45,21.08,,60002009285
195,ALISAL HIGH,California,98.64,100.75,,24.58,23.65,,63398005332
196,ALISO ELEMENTARY,California,17,19,,26.06,23.58,,60756000724
197,ALISO ELEMENTARY,California,,,,,,,63386005292
198,ALISO NIGUEL HIGH,California,97.12,105.47,,30.82,28.18,,60744002328
199,ALISO VIEJO MIDDLE,California,39.25,40.45,,27.77,26.72,,60744002334
200,ALL TRIBES CHARTER,California,4,,,17,,,60004210387
201,ALL TRIBES ELEMENTARY CHARTER,California,1.6,,,18.75,,,60004212735
202,ALLAN ORRENMAA ELEMENTARY,California,20,22,,30.4,29.82,,60243000138
203,ALLAN PETERSON ELEMENTARY,California,30,30,,25.47,25.33,,62460008899
204,ALLEN (DECIMA M.) ELEMENTARY,California,11.5,12.5,,30.17,29.68,,63423005393
205,ALLEN (ELLA B.) ELEMENTARY,California,23,20,,17.91,20,,60861000855
206,ALLEN AT STEINBECK,California,35.95,39.33,,22.45,21.71,,63459005697
207,ALLEN AVENUE ELEMENTARY,California,15,17.8,,24.67,22.08,,60561000503
208,ALLENDALE ELEMENTARY,California,16,16,,26.56,26.38,,62805004238
209,ALLENSWORTH ELEMENTARY,California,4.33,3.67,,18.24,22.07,,60198000086
210,ALLESANDRO ELEMENTARY,California,19,20,,23.63,22.7,,62271002807
211,ALLIANCE ACADEMY,California,14.26,12.51,,24.75,29.1,,62805012027
212,ALLIANCE CHRISTINE O'DONOVAN MIDDLE ACADEMY,California,18,19,,25,23.26,,62271012297
213,ALLIANCE CINDY AND BILL SIMON TECHNOLOGY ACADEMY H,California,18,14,,22.56,22.57,,62271012567
214,ALLIANCE COLLEGE-READY ACADEMY HIGH NO. 16,California,9.1,6.15,,20.55,15.93,,62271012766
215,ALLIANCE COLLEGE-READY ACADEMY HIGH NO. 18,California,,,,,,,62271012924
216,ALLIANCE COLLEGE-READY ACADEMY HIGH NO. 20,California,,,,,,,62271013099
217,ALLIANCE COLLEGE-READY ACADEMY HIGH NO. 5,California,33.2,31.2,,18.31,20,,62271011632
218,ALLIANCE COLLEGE-READY ACADEMY HIGH NO. 7,California,,23.67,,,19.77,,62271011844
219,ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 10,California,,,,,,,62271013597
220,ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 12,California,,,,,,,62271013403
221,ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 4,California,17,16,,29.41,30.31,,62271012528
222,ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 5,California,11,11,,25.36,23.55,,62271012474
223,ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 7,California,15,11,,29.6,26.55,,62271012573
224,ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 8,California,,,,,,,62271013273
225,ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 9,California,,,,,,,62271013487
226,ALLIANCE DR. OLGA MOHAN HIGH,California,25.2,25,,18.17,17.76,,62271011633
227,ALLIANCE ENVIRONMENTAL SCIENCE AND TECHNOLOGY HIGH,California,27,21,,20.33,21.76,,62271012342
228,ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX,California,27,27,,19.44,19.78,,62271010851
229,ALLIANCE HEALTH SERVICES ACADEMY HIGH,California,24,22,,19.75,18.55,,62271012378
230,ALLIANCE HUNTINGTON PARK COLLEGE-READY ACADEMY HIG,California,29.5,29.05,,20.14,19.76,,62271010871
231,ALLIANCE JACK H. SKIRBALL MIDDLE,California,17.67,17.67,,25.01,25.41,,62271011634
232,ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH,California,26,25,,22.08,23.8,,62271010867
233,ALLIANCE MARC & EVA STERN MATH AND SCIENCE,California,29,32,,20.97,17.75,,62271011642
234,ALLIANCE MEDIA ARTS AND ENTERTAINMENT DESIGN HIGH,California,15.5,15,,21.61,20.13,,62271012259
235,ALLIANCE OUCHI-O'DONOVAN 6-12 COMPLEX,California,25,22,,21.8,23.41,,62271011641
236,ALLIANCE RENEE AND MEYER LUSKIN ACADEMY HIGH,California,22,,,19.64,,,62271012848
237,ALLIANCE RICHARD MERKIN MIDDLE,California,17,18.8,,27.53,25.05,,62271010868
238,ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY HIGH,California,6,,,23.67,,,62271012817
239,ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HIGH,California,14.95,8,,27.56,28.88,,62271012572
240,ALLISON ELEMENTARY,California,17,19.5,,23,20.72,,63132004835
241,ALMA PRESCHOOL,California,,,,,,,60780012607
242,ALMADEN ELEMENTARY,California,19.95,19,,20.8,22.21,,63459005698
243,ALMANOR HIGH (CONTINUATION),California,1,,,4,,,63117007824
244,ALMERIA MIDDLE,California,43.11,40.15,,22.76,24.86,,61392009544
245,ALMOND ACRES CHARTER ACADEMY,California,7,,,21.43,,,63501013176
246,ALMOND ELEMENTARY,California,23.15,23.02,,23.33,22.85,,62265002782
247,ALMOND ELEMENTARY,California,22.58,23.5,,27.64,27.49,,61392011362
248,ALMOND TREE MIDDLE,California,33,33,,22.48,21.76,,61089007504
249,ALMONDALE ELEMENTARY,California,27,26,,23.67,23.62,,63348003149
250,ALOHA ELEMENTARY,California,17,14.5,,22.41,26.76,,60162000001
251,ALONDRA MIDDLE,California,28.5,32.5,,33.58,28.77,,62985012423
252,ALPAUGH ACHIEVEMENT ACADEMY CHARTER,California,,,,,,,60201011820
253,ALPAUGH ELEMENTARY,California,9,10,,19.56,19.1,,60201000087
254,ALPAUGH JUNIOR-SENIOR HIGH,California,11.5,11.5,,12.17,11.57,,60201000088
255,ALPHA CHARTER,California,,,,,,,61260013554
256,ALPHA ELEMENTARY,California,25.5,26,,28,27.35,,62334009397
257,ALPHA TECHNOLOGY MIDDLE,California,4.2,4.77,,27.86,19.5,,61260001423
258,ALPHA: BLANCA ALVARADO MIDDLE,California,5,,,35.4,,,60231012989
259,ALPHONSO B. PEREZ SPECIAL EDUCATION CENTER,California,36,37.05,,9.64,9.5,,62271007762
260,ALPINE CO ELEMENTARY COMMUNITY DAY,California,,,,,,,60207006969
261,ALPINE COMMUNITY DAY,California,,1,,,1,,60210010623
262,ALPINE COUNTY OPPORTUNITY,California,2,,,1,,,69105806965
263,ALPINE COUNTY SECONDARY COMMUNITY DAY,California,1,2,,2,1.5,,60207006968
264,ALPINE ELEMENTARY,California,20,22,,27.05,26.18,,61944002332
265,ALPINE ELEMENTARY,California,12.06,14.4,,34.49,27.78,,60210000091
266,ALPINE VISTA,California,,,,,,,63987013286
267,ALPS VIEW HIGH (CONTINUATION),California,0.79,0.79,,10.13,8.86,,60133106604
268,ALTA CALIFORNIA ELEMENTARY,California,34,34,,24.26,23.85,,62271012806
269,ALTA ELEMENTARY,California,16,15,,25.94,25.87,,61970002363
270,ALTA HEIGHTS ELEMENTARY,California,15,15.4,,25.07,23.77,,62664004011
271,ALTA LOMA ELEMENTARY,California,29,30,,24.34,23.3,,62271002808
272,ALTA LOMA ELEMENTARY,California,17,18,,27.76,27.61,,60216000093
273,ALTA LOMA HIGH,California,99.91,98.31,,26.52,27.95,,60816000790
274,ALTA LOMA JUNIOR HIGH,California,29,28.5,,26.41,26.77,,60216000094
275,ALTA LOMA MIDDLE,California,33.21,33.25,,24.36,23.73,,63753006339
276,ALTA MESA ELEMENTARY,California,8.6,11.6,,27.21,18.71,,61281001439
277,ALTA MURRIETA ELEMENTARY,California,23,25.5,,29.91,25.65,,60002909509
278,ALTA SIERRA ELEMENTARY,California,17,16,,19.29,19.44,,63093008942
279,ALTA SIERRA INTERMEDIATE,California,55.34,51.79,,24.9,27.36,,60903010202
280,ALTA VISTA ACADEMY,California,8.7,9,,6.09,6.78,,63864010385
281,ALTA VISTA ALTERNATIVE HIGH,California,5.4,3.97,,24.81,25.69,,60141412435
282,ALTA VISTA ALTERNATIVE HIGH,California,,,,,,,63537012435
283,ALTA VISTA ALTERNATIVE JUNIOR HIGH,California,,0.17,,,5.88,,60141412760
284,ALTA VISTA ALTERNATIVE JUNIOR HIGH,California,,,,,,,63537012760
285,ALTA VISTA COMMUNITY CHARTER,California,5.05,,,19.21,,,60348013170
286,ALTA VISTA ELEMENTARY,California,25,25,,22.4,20.64,,60222000098
287,ALTA VISTA ELEMENTARY,California,23.5,23.5,,26.47,25.06,,64032006667
288,ALTA VISTA ELEMENTARY,California,25,25,,24.76,24.16,,60003204950
289,ALTA VISTA HIGH,California,7.6,7.6,,19.21,18.82,,62631003931
290,ALTA VISTA HIGH (CONTINUATION),California,12.52,13.5,,13.18,16.37,,64119006812
