CDS,Name,AggLevel,DFC,Subgroup,Subgrouptype,NumCohort,NumGraduates,Cohort Graduation Rate,NumDropouts,Cohort Dropout Rate,NumSpecialEducation,Special Ed Completers Rate,NumStillEnrolled,Still Enrolled Rate,NumGED,GED Rate,Year
1.96E+13,Robert H. Lewis Continuation,S,N,FEM,5,16,*,6.25,*,31.3,*,0,*,62.5,*,0,1314
1.96E+13,Canoga Park Senior High,S,N,FEM,2,*,*,70,*,20,*,0,*,10,*,0,1314
1.96E+13,Canoga Park Senior High,S,N,FEM,4,*,*,100,*,0,*,0,*,0,*,0,1314
1.96E+13,Mission Continuation,S,N,FEM,5,12,*,0,*,25,*,0,*,75,*,0,1314
1.96E+13,Owensmouth Continuation,S,N,FEM,5,24,*,20.83,*,8.3,*,0,17,70.8,*,0,1314
1.96E+13,George S. Patton Continuation,S,N,FEM,6,*,*,33.33,*,33.3,*,0,*,33.3,*,0,1314
1.96E+13,Carson Senior High,S,N,FEM,2,*,*,100,*,0,*,0,*,0,*,0,1314
1.96E+13,Carson Senior High,S,N,FEM,7,*,*,66.67,*,16.7,*,0,*,16.7,*,0,1314
1.96E+13,Will Rogers Continuation,S,N,FEM,5,28,*,21.43,*,10.7,*,0,19,67.9,*,0,1314
1.96E+13,Will Rogers Continuation,S,N,FEM,7,*,*,0,*,0,*,0,*,100,*,0,1314
1.96E+13,Stoney Point Continuation,S,N,FEM,6,*,*,0,*,100,*,0,*,0,*,0,1314
1.96E+13,Diane S. Leichman Special Education Center,S,N,FEM,5,*,*,0,*,12.5,*,0,*,87.5,*,0,1314
1.96E+13,Frank Lanterman,S,N,FEM,5,*,*,0,*,0,*,20,*,80,*,0,1314
1.96E+13,Zane Grey Continuation,S,N,FEM,6,*,*,100,*,0,*,0,*,0,*,0,1314
1.96E+13,Independence Continuation,S,N,FEM,5,20,*,25,*,25,*,0,*,50,*,0,1314
1.96E+13,Chatsworth Charter High,S,N,FEM,1,*,*,100,*,0,*,0,*,0,*,0,1314
1.96E+13,Valley Alternative Magnet,S,N,FEM,2,*,*,100,*,0,*,0,*,0,*,0,1314
1.96E+13,Whitman Continuation,S,N,FEM,5,*,*,16.67,*,16.7,*,0,*,66.7,*,0,1314
1.96E+13,Whitman Continuation,S,N,FEM,7,*,*,100,*,0,*,0,*,0,*,0,1314
1.96E+13,Grover Cleveland Charter High,S,N,FEM,5,210,182,86.67,13,6.2,*,0,15,7.1,*,0,1314
1.96E+13,Avalon High,S,N,FEM,5,21,*,19.05,*,28.6,*,0,11,52.4,*,0,1314
1.96E+13,Ellington (Duke) High (Continuation),S,N,FEM,5,18,*,16.67,*,22.2,*,0,11,61.1,*,0,1314
1.96E+13,"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet",S,N,FEM,5,40,28,70,*,25,*,0,*,5,*,0,1314
1.96E+13,"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet",S,N,FEM,7,*,*,100,*,0,*,0,*,0,*,0,1314
1.96E+13,Henry David Thoreau Continuation,S,N,FEM,6,*,*,66.67,*,33.3,*,0,*,0,*,0,1314
1.96E+13,Eagle Tree Continuation,S,N,FEM,6,*,*,12.5,*,50,*,0,*,37.5,*,0,1314
1.96E+13,Eagle Tree Continuation,S,N,FEM,3,*,*,0,*,100,*,0,*,0,*,0,1314
1.96E+13,Evergreen Continuation,S,N,FEM,1,*,*,0,*,100,*,0,*,0,*,0,1314
1.96E+13,Susan Miller Dorsey Senior High,S,N,FEM,6,79,66,83.54,*,11.4,*,0,*,5.1,*,0,1314
1.96E+13,Susan Miller Dorsey Senior High,S,N,FEM,1,*,*,100,*,0,*,0,*,0,*,0,1314
1.96E+13,West Hollywood Opportunity,S,N,FEM,5,*,*,60,*,20,*,0,*,20,*,0,1314
1.96E+13,West Hollywood Opportunity,S,N,FEM,7,*,*,0,*,100,*,0,*,0,*,0,1314
1.96E+13,Eagle Rock High,S,N,FEM,6,*,*,100,*,0,*,0,*,0,*,0,1314
1.96E+13,Eagle Rock High,S,N,FEM,3,*,*,100,*,0,*,0,*,0,*,0,1314
