School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,School Level Code [Public School] 2012-13,School Level Code [Public School] 2011-12,School Level Code [Public School] 2010-11,Lowest Grade Offered [Public School] 2012-13,Lowest Grade Offered [Public School] 2011-12,Lowest Grade Offered [Public School] 2010-11,Highest Grade Offered [Public School] 2012-13,Highest Grade Offered [Public School] 2011-12,Highest Grade Offered [Public School] 2010-11,Prekindergarten offered [Public School] 2012-13,Prekindergarten offered [Public School] 2011-12,Prekindergarten offered [Public School] 2010-11,Kindergarten offered [Public School] 2012-13,Kindergarten offered [Public School] 2011-12,Kindergarten offered [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2012-13,Total Students All Grades (Excludes AE) [Public School] 2011-12,Total Students All Grades (Excludes AE) [Public School] 2010-11,Free Lunch Eligible [Public School] 2012-13,Free Lunch Eligible [Public School] 2011-12,Free Lunch Eligible [Public School] 2010-11,Reduced-price Lunch Eligible Students [Public School] 2012-13,Reduced-price Lunch Eligible Students [Public School] 2011-12,Reduced-price Lunch Eligible Students [Public School] 2010-11,Free and Reduced Lunch Students [Public School] 2012-13,Free and Reduced Lunch Students [Public School] 2011-12,Free and Reduced Lunch Students [Public School] 2010-11,Prekindergarten and Kindergarten Students [Public School] 2012-13,Prekindergarten and Kindergarten Students [Public School] 2011-12,Prekindergarten and Kindergarten Students [Public School] 2010-11,Grades 1-8 Students [Public School] 2012-13,Grades 1-8 Students [Public School] 2011-12,Grades 1-8 Students [Public School] 2010-11,Grades 9-12 Students [Public School] 2012-13,Grades 9-12 Students [Public School] 2011-12,Grades 9-12 Students [Public School] 2010-11,Prekindergarten Students [Public School] 2012-13,Prekindergarten Students [Public School] 2011-12,Prekindergarten Students [Public School] 2010-11,Kindergarten Students [Public School] 2012-13,Kindergarten Students [Public School] 2011-12,Kindergarten Students [Public School] 2010-11,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Total Race/Ethnicity [Public School] 2012-13,Total Race/Ethnicity [Public School] 2011-12,Total Race/Ethnicity [Public School] 2010-11
ACADEMY OF SCIENCE AND ENGINEERING,California,062271013044,3-High,†,†,9th Grade,†,†,12th Grade,†,†,2-No,†,†,2-No,†,†,149,†,†,136,†,†,3,†,†,139,†,†,†,†,†,4,†,†,145,†,†,†,†,†,†,†,†,75,†,†,74,†,†,0,†,†,0,†,†,113,†,†,36,†,†,0,†,†,0,†,†,0,†,†,149,†,†
ACADEMY OF TECHNOLOGY & LEADERSHIP AT SATICOY,California,064098006765,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,352,359,385,270,–,187,54,–,60,324,319,247,44,50,63,308,309,322,–,†,†,†,†,†,44,50,63,177,180,196,175,179,189,0,0,2,8,6,8,225,237,244,11,12,17,95,94,98,0,0,0,13,10,16,352,359,385
ACADEMY OF THE CANYONS,California,064251008517,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,378,389,388,18,†,18,9,†,4,27,†,22,†,†,†,†,†,†,378,389,388,†,†,†,†,†,†,163,166,174,215,223,214,0,0,0,87,76,64,72,82,101,15,16,18,185,202,198,1,4,3,18,9,4,378,389,388
ACADEMY OF THE REDWOODS,California,061419010801,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,184,241,226,38,†,64,30,†,35,68,†,99,†,†,†,†,2,†,184,239,226,†,†,†,†,†,†,80,119,112,104,122,114,11,24,14,14,12,12,24,34,26,2,3,5,129,161,158,1,3,2,3,4,9,184,241,226
ACADEMY PERFORMING PRESCHOOL,California,064104013396,†,†,†,†,†,†,†,†,†,2-No,†,†,2-No,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ACALANES CENTER FOR INDEPENDENT STUDY,California,060165010751,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,29,51,85,3,†,3,0,†,0,3,†,3,†,†,†,†,†,†,29,51,85,†,†,†,†,†,†,13,19,35,16,32,50,0,0,0,3,1,2,2,9,13,0,3,3,16,32,60,0,0,0,8,6,7,29,51,85
ACALANES HIGH,California,060165000032,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1390,1386,1416,23,†,31,8,†,3,31,†,34,†,†,†,†,†,†,1369,1374,1403,†,†,†,†,†,†,710,761,779,659,625,637,2,2,2,161,166,157,100,110,113,8,7,13,986,987,1011,1,1,1,111,113,119,1369,1386,1416
ACCELERATED,California,062271003245,4-Other,1-Primary,4-Other,Kindergarten,Kindergarten,Kindergarten,9th Grade,8th Grade,9th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,773,709,751,203,–,668,0,–,59,203,–,727,69,69,58,611,640,691,93,†,2,†,†,†,69,69,58,349,323,359,424,386,392,123,129,0,3,4,0,566,490,416,71,80,0,3,5,0,0,0,0,7,1,335,773,709,751
ACCELERATED ACHIEVEMENT ACADEMY,California,064030010552,4-Other,4-Other,4-Other,4th Grade,4th Grade,4th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,165,167,176,117,†,105,13,†,22,130,†,127,†,†,†,102,104,110,63,63,66,†,†,†,†,†,†,83,94,101,82,73,75,6,6,11,0,1,2,81,69,78,1,1,1,71,78,73,0,1,0,6,11,11,165,167,176
ACCELERATED ACHIEVEMENT ACADEMY,California,061734012565,2-Middle,2-Middle,2-Middle,4th Grade,4th Grade,4th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,94,93,103,33,90,42,8,–,9,41,90,51,†,†,†,94,93,103,–,†,†,†,†,†,†,†,†,41,36,47,53,57,56,1,1,0,6,6,4,60,57,58,1,2,0,25,25,39,0,0,0,1,2,2,94,93,103
ACCELERATED ELEMENTARY CHARTER,California,062271010830,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,247,167,127,59,74,99,0,0,20,59,74,119,60,40,19,187,127,108,–,†,†,†,†,†,60,40,19,116,80,65,131,87,62,4,3,0,0,0,0,228,151,111,12,11,12,2,2,2,0,0,0,1,0,2,247,167,127
ACCESS COUNTY COMMUNITY,California,069102410567,4-Other,4-Other,4-Other,Kindergarten,Kindergarten,Kindergarten,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,4081,4426,4658,2349,–,1204,0,–,0,2349,33,1204,9,7,11,269,308,404,3803,4111,4243,†,†,†,9,7,11,2377,2623,2829,1704,1803,1829,35,44,76,120,133,142,3002,3210,3240,97,145,141,724,788,952,20,27,27,83,79,80,4081,4426,4658
ACCESS JUVENILE HALL,California,069102409236,4-Other,4-Other,4-Other,Kindergarten,Kindergarten,Kindergarten,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1121,1204,1010,620,†,963,0,†,0,620,†,963,0,0,2,67,62,101,1054,1142,907,†,†,†,0,0,2,982,1087,883,139,117,127,9,9,6,24,45,22,838,906,751,27,26,41,187,158,129,5,11,3,31,49,58,1121,1204,1010
ACE CHARTER HIGH,California,061182013023,3-High,†,†,9th Grade,†,†,12th Grade,†,†,2-No,2-No,†,2-No,2-No,†,99,†,†,89,†,†,0,†,†,89,†,†,†,†,†,†,†,†,99,†,†,†,†,†,†,†,†,44,†,†,55,†,†,0,†,†,0,†,†,97,†,†,0,†,†,0,†,†,0,†,†,2,†,†,99,†,†
ACE EMPOWER ACADEMY,California,069103512198,2-Middle,2-Middle,2-Middle,5th Grade,5th Grade,5th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,466,359,305,393,331,264,34,0,28,427,331,292,†,†,†,466,359,305,–,†,†,†,†,†,†,†,†,246,173,144,220,186,161,0,0,0,15,7,1,435,338,280,8,9,0,4,1,0,1,1,0,3,3,24,466,359,305
ACHIEVE ACADEMY,California,062805011561,2-Middle,2-Middle,2-Middle,4th Grade,4th Grade,4th Grade,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,2-No,2-No,2-No,226,245,217,223,–,204,0,–,10,223,171,214,†,†,†,226,245,217,–,†,†,†,†,†,†,†,†,110,128,116,116,117,101,3,1,2,11,12,8,199,216,193,9,7,6,3,4,3,0,0,0,1,5,5,226,245,217
ACHIEVE CHARTER SCHOOL OF PARADISE INC.,California,062982011571,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,207,212,212,52,70,0,16,0,0,68,70,0,19,20,21,188,192,191,–,†,†,†,†,†,19,20,21,111,117,111,96,95,101,7,6,6,6,8,9,17,16,20,2,3,3,174,178,171,0,0,0,1,1,3,207,212,212
ACORN WOODLAND ELEMENTARY,California,062805010730,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,267,236,242,264,191,200,0,16,17,264,207,217,46,45,45,221,191,197,–,†,†,†,†,†,46,45,45,133,119,124,134,117,118,0,0,0,5,5,5,232,206,206,26,19,23,1,2,0,0,1,1,3,3,7,267,236,242
ADA CLEGG ELEMENTARY,California,064215012492,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,523,502,479,193,251,176,69,0,39,262,251,215,106,100,103,417,402,376,–,†,†,†,†,†,106,100,103,256,243,234,267,259,245,3,2,2,152,144,120,168,163,145,6,2,3,155,153,171,1,2,4,38,36,34,523,502,479
ADA GIVENS ELEMENTARY,California,062460003686,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,472,460,473,316,–,337,49,–,44,365,333,381,96,72,69,376,388,404,–,†,†,†,†,†,96,72,69,251,247,252,221,213,221,4,1,1,45,44,40,274,272,272,27,27,35,114,110,121,0,0,0,8,6,4,472,460,473
ADA S. NELSON ELEMENTARY,California,062289003501,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,518,502,517,513,499,514,0,–,0,513,499,514,79,65,71,439,437,446,–,†,†,†,†,†,79,65,71,260,251,274,258,251,243,8,66,3,4,3,4,503,423,496,0,1,2,3,9,11,0,0,0,0,0,1,518,502,517
ADA W. HARRIS ELEMENTARY,California,060747000706,1-Primary,1-Primary,1-Primary,3rd Grade,3rd Grade,3rd Grade,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,2-No,2-No,2-No,368,385,388,40,–,56,27,–,15,67,91,71,†,†,†,368,385,388,–,†,†,†,†,†,†,†,†,197,203,208,171,182,180,1,4,4,11,10,8,65,65,70,1,2,2,284,301,296,1,0,1,5,3,7,368,385,388
ADALINE E. KENT MIDDLE,California,061938002329,2-Middle,2-Middle,2-Middle,5th Grade,5th Grade,5th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,533,522,504,19,–,0,0,–,0,19,256,0,†,†,†,533,522,504,–,†,†,†,†,†,†,†,†,258,264,250,275,258,254,1,0,0,28,28,25,47,37,37,3,3,4,392,386,381,0,1,2,62,67,55,533,522,504
ADAM (WILLIAM LAIRD) ELEMENTARY,California,060558009312,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,995,939,872,868,–,711,64,–,88,932,272,799,171,183,148,824,756,724,–,†,†,†,†,†,171,183,148,492,480,465,503,459,407,1,1,2,7,6,2,965,915,844,4,7,4,17,10,20,0,0,0,1,0,0,995,939,872
ADAMS (J. DOUGLAS) MIDDLE,California,060591011574,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,6th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1045,1030,1076,160,–,195,46,–,45,206,14,240,†,†,†,1045,1030,1076,–,†,†,†,†,†,†,†,†,533,511,541,512,519,535,5,3,4,159,145,149,203,235,212,116,130,135,535,493,545,9,10,15,18,14,16,1045,1030,1076
ADAMS ELEMENTARY,California,063315005129,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,497,495,543,330,–,323,84,–,86,414,246,409,62,64,83,435,431,460,–,†,†,†,†,†,62,64,83,229,224,266,268,271,277,5,5,4,12,13,12,370,364,376,18,20,26,75,77,108,3,5,5,14,11,12,497,495,543
ADAMS ELEMENTARY,California,063536006015,†,†,1-Primary,†,†,Kindergarten,†,†,6th Grade,†,†,2-No,†,†,1-Yes,†,†,564,†,†,370,†,†,58,†,†,428,†,†,102,†,†,462,†,†,†,†,†,†,†,†,102,†,†,275,†,†,289,†,†,4,†,†,11,†,†,475,†,†,6,†,†,58,†,†,0,†,†,10,†,†,564
ADAMS ELEMENTARY,California,062724009593,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,449,447,460,360,†,329,18,†,23,378,†,352,75,65,58,374,382,402,–,†,†,†,†,†,75,65,58,234,234,231,215,213,229,0,0,1,22,21,30,346,331,331,12,13,15,56,70,72,8,9,11,5,3,0,449,447,460
ADAMS ELEMENTARY,California,063531005981,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,576,606,653,448,†,546,45,†,71,493,†,617,94,99,95,482,507,558,–,†,†,†,†,†,94,99,95,312,324,362,264,282,291,0,1,1,16,10,12,552,589,628,1,1,1,4,4,8,1,0,2,2,1,1,576,606,653
ADAMS ELEMENTARY,California,063432005407,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,356,332,333,353,†,257,0,†,13,353,†,270,74,58,61,282,274,272,–,†,†,†,†,†,74,58,61,195,188,185,161,144,148,2,0,0,14,17,19,240,225,237,56,55,41,23,25,23,1,1,2,20,9,11,356,332,333
ADAMS ELEMENTARY,California,060141406015,1-Primary,1-Primary,†,Kindergarten,Kindergarten,†,6th Grade,6th Grade,†,2-No,2-No,†,1-Yes,1-Yes,†,565,543,†,357,–,†,62,–,†,419,80,†,96,76,†,469,467,†,–,†,†,†,†,†,96,76,†,272,263,†,293,280,†,4,6,†,10,10,†,445,454,†,9,6,†,91,58,†,0,0,†,6,9,†,565,543,†
ADAMS ELEMENTARY,California,063801006398,1-Primary,1-Primary,4-Other,Kindergarten,Kindergarten,Kindergarten,8th Grade,8th Grade,9th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,530,548,540,432,–,411,28,–,40,460,432,451,79,61,55,451,487,485,–,†,0,†,†,†,79,61,55,268,287,270,262,261,270,9,10,12,129,121,141,236,237,230,91,93,96,40,49,50,5,8,8,20,30,3,530,548,540
ADAMS MIDDLE,California,060003204949,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,6th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,922,904,893,249,–,274,75,–,90,324,101,364,†,†,†,922,904,893,–,†,†,†,†,†,†,†,†,480,483,487,442,421,406,10,7,2,133,133,133,284,286,288,86,101,106,375,346,340,19,16,14,15,15,10,922,904,893
ADDAMS ELEMENTARY,California,062250002695,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,973,935,919,796,–,774,69,–,79,865,680,853,192,162,154,781,773,765,–,†,†,†,†,†,192,162,154,515,492,468,458,443,451,1,2,2,41,33,35,746,725,700,126,108,115,17,22,22,27,32,35,15,13,10,973,935,919
ADDAMS ELEMENTARY,California,061455001703,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,861,846,875,810,†,733,25,†,60,835,†,793,142,128,156,719,718,719,–,†,†,†,†,†,142,128,156,458,421,477,403,425,398,6,7,6,48,49,40,624,607,617,90,81,89,79,91,110,5,6,6,9,5,7,861,846,875
ADDISON ELEMENTARY,California,062961004579,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,468,473,456,40,–,28,8,–,9,48,38,37,86,66,79,382,407,377,–,†,†,†,†,†,86,66,79,220,227,219,248,246,237,5,7,8,75,85,91,50,43,39,12,11,14,292,305,296,3,4,5,31,18,3,468,473,456
ADELANTE CHARTER,California,060141408628,1-Primary,1-Primary,†,Kindergarten,Kindergarten,†,6th Grade,6th Grade,†,2-No,2-No,†,1-Yes,1-Yes,†,225,216,†,138,–,†,36,–,†,174,19,†,42,40,†,183,176,†,–,†,†,†,†,†,42,40,†,107,98,†,118,118,†,0,1,†,0,0,†,212,202,†,0,0,†,12,13,†,0,0,†,1,0,†,225,216,†
ADELANTE CHARTER,California,063536008628,†,†,1-Primary,†,†,Kindergarten,†,†,6th Grade,†,†,2-No,†,†,1-Yes,†,†,213,†,†,142,†,†,34,†,†,176,†,†,31,†,†,182,†,†,†,†,†,†,†,†,31,†,†,95,†,†,118,†,†,1,†,†,2,†,†,191,†,†,0,†,†,19,†,†,0,†,†,0,†,†,213
ADELANTE DUAL LANGUAGE ACADEMY,California,060231011793,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,8th Grade,8th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,511,464,402,508,461,193,0,–,47,508,461,240,60,61,58,451,403,344,–,†,†,†,†,†,60,61,58,234,204,184,277,260,218,3,3,3,11,10,9,458,411,352,16,16,14,21,22,22,2,2,2,0,0,0,511,464,402
ADELANTE HIGH,California,060006111814,3-High,3-High,3-High,10th Grade,10th Grade,10th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,66,64,61,47,42,43,5,0,1,52,42,44,†,†,†,†,†,†,66,64,61,†,†,†,†,†,†,48,38,32,18,26,29,0,0,0,0,0,0,53,48,45,1,0,0,12,16,16,0,0,0,0,0,0,66,64,61
ADELANTE HIGH,California,063227002047,3-High,3-High,3-High,9th Grade,9th Grade,11th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,4,7,2,–,†,0,–,†,0,–,†,0,†,†,†,†,†,†,4,7,2,†,†,†,†,†,†,3,4,1,1,3,1,0,0,0,0,0,0,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2
ADELANTE HIGH (CONTINUATION),California,063363005189,3-High,3-High,3-High,9th Grade,9th Grade,10th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,170,137,174,92,29,95,10,0,15,102,29,110,†,†,†,†,†,†,170,137,174,†,†,†,†,†,†,95,84,102,75,53,72,3,4,3,6,7,8,58,45,62,8,9,5,83,68,92,2,1,1,10,3,3,170,137,174
ADELANTE SPANISH IMMERSION,California,063213007421,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,567,579,548,228,–,227,76,–,68,304,81,295,92,105,103,475,474,445,–,†,†,†,†,†,92,105,103,271,280,271,296,299,277,0,0,1,6,9,10,448,460,433,7,8,7,92,90,84,1,1,2,13,11,11,567,579,548
ADELANTO CHARTER ACADEMY,California,060171012454,†,4-Other,4-Other,†,Kindergarten,Kindergarten,†,12th Grade,9th Grade,2-No,2-No,2-No,2-No,1-Yes,1-Yes,†,43,74,†,–,0,†,–,0,†,–,0,†,5,5,†,16,57,–,22,12,†,†,†,†,5,5,†,19,44,†,24,30,†,0,2,†,0,0,†,4,24,†,36,29,†,3,13,†,0,0,†,0,6,†,43,74
ADELANTO ELEMENTARY,California,060171000038,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,571,564,577,567,–,574,0,–,0,567,183,574,88,86,72,483,478,505,–,†,†,†,†,†,88,86,72,305,306,307,266,258,270,0,2,5,2,1,4,337,353,378,155,140,126,49,53,46,0,1,4,28,14,14,571,564,577
ADELANTO HIGH,California,063697212990,3-High,†,†,9th Grade,†,†,12th Grade,†,†,2-No,2-No,†,2-No,2-No,†,993,†,†,892,†,†,41,†,†,933,†,†,†,†,†,†,†,†,993,†,†,†,†,†,†,†,†,523,†,†,470,†,†,9,†,†,8,†,†,619,†,†,270,†,†,62,†,†,6,†,†,19,†,†,993,†,†
ADELE HARRISON MIDDLE,California,063720010436,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,6th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,453,449,458,201,–,191,33,–,35,234,–,226,†,†,†,453,449,458,–,†,†,†,†,†,†,†,†,236,226,228,217,223,230,1,4,5,17,13,15,223,226,208,2,1,2,201,194,221,1,2,1,8,9,6,453,449,458
ADOBE BLUFFS ELEMENTARY,California,063153001203,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,395,380,402,18,†,28,13,†,7,31,†,35,82,81,80,313,299,322,–,†,†,†,†,†,82,81,80,213,195,205,182,185,197,1,1,1,126,125,133,35,25,24,9,8,11,198,201,222,1,1,1,25,19,10,395,380,402
ADOLFO CAMARILLO HIGH,California,062927004516,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2521,2493,2371,539,–,278,73,–,91,612,119,369,†,†,†,†,†,†,2521,2493,2371,†,†,†,†,†,†,1301,1267,1217,1220,1226,1154,16,17,13,276,288,277,956,928,844,53,41,34,1150,1167,1168,10,12,10,60,40,25,2521,2493,2371
ADRIAN WILCOX HIGH,California,063543006055,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1850,1872,1887,640,†,609,208,†,145,848,†,754,†,†,†,†,1,4,1850,1871,1874,†,†,†,†,†,†,960,983,978,890,889,909,10,12,9,606,581,587,646,641,631,76,96,93,437,466,501,25,35,38,50,41,28,1850,1872,1887
ADULT EDUCATION,California,060813012588,†,†,†,†,†,†,†,†,†,2-No,2-No,2-No,2-No,2-No,2-No,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ADULT EDUCATION,California,061488012598,†,†,†,†,†,†,†,†,†,2-No,2-No,2-No,2-No,2-No,2-No,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
AEOLIAN ELEMENTARY,California,062289003499,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,558,538,533,540,†,530,0,†,0,540,†,530,89,79,82,469,459,451,–,†,†,†,†,†,89,79,82,288,279,277,270,259,256,13,6,2,1,2,5,541,523,518,0,0,0,3,5,6,0,0,0,0,2,2,558,538,533
AFFLERBAUGH-PAIGE CAMP,California,069107812710,3-High,3-High,3-High,7th Grade,7th Grade,7th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,182,141,126,179,138,108,0,–,0,179,138,108,†,†,†,7,3,3,175,138,123,†,†,†,†,†,†,182,141,126,0,0,0,1,0,0,2,0,4,122,106,91,46,26,26,10,8,5,0,0,0,1,1,0,182,141,126
AGGELER COMMUNITY DAY,California,062271011315,3-High,3-High,3-High,7th Grade,7th Grade,7th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,82,83,82,29,†,26,0,†,1,29,†,27,†,†,†,9,4,2,73,79,80,†,†,†,†,†,†,82,83,82,0,0,0,0,0,1,1,1,0,58,61,55,16,13,12,7,7,8,0,0,0,0,1,6,82,83,82
AGNES J. JOHNSON  ELEMENTARY,California,063759006363,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,62,48,62,29,†,39,10,†,7,39,†,46,17,7,13,45,41,49,–,†,†,†,†,†,17,7,13,29,21,29,33,27,33,1,3,2,2,2,2,8,6,7,2,2,3,47,34,47,2,1,1,0,0,0,62,48,62
AGNES L. SMITH ELEMENTARY,California,061803002224,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,852,886,863,135,–,115,40,–,47,175,309,162,144,135,118,708,751,745,–,†,†,†,†,†,144,135,118,468,489,458,384,397,405,4,2,4,67,69,55,166,165,168,3,4,2,548,579,577,0,0,0,64,67,57,852,886,863
