Id,Id2,Geography,Total:,Income in 1999 below poverty level:,Income in 1999 below poverty level: - Under 5 years,Income in 1999 below poverty level: - 5 years,Income in 1999 below poverty level: - 6 to 11 years,Income in 1999 below poverty level: - 12 to 17 years,Income in 1999 below poverty level: - 18 to 64 years,Income in 1999 below poverty level: - 65 to 74 years,Income in 1999 below poverty level: - 75 years and over,Income in 1999 at or above poverty level:,Income in 1999 at or above poverty level: - Under 5 years,Income in 1999 at or above poverty level: - 5 years,Income in 1999 at or above poverty level: - 6 to 11 years,Income in 1999 at or above poverty level: - 12 to 17 years,Income in 1999 at or above poverty level: - 18 to 64 years,Income in 1999 at or above poverty level: - 65 to 74 years,Income in 1999 at or above poverty level: - 75 years and over
8600000US91016,91016,ZCTA5 91016,40515,5071,466,157,797,518,2754,150,229,35444,2689,589,3262,2598,22493,1789,2024
8600000US91020,91020,ZCTA5 91020,6987,682,31,20,93,73,388,51,26,6305,362,62,434,434,4246,358,409
8600000US91024,91024,ZCTA5 91024,10422,389,13,2,26,6,315,13,14,10033,536,104,616,652,6566,826,733
8600000US91030,91030,ZCTA5 91030,23707,1457,41,6,82,158,1016,59,95,22250,1127,259,1871,1823,14626,1427,1117
8600000US91040,91040,ZCTA5 91040,18305,1616,66,27,136,165,993,100,129,16689,1007,224,1439,1237,10734,1146,902
8600000US91042,91042,ZCTA5 91042,26166,3410,333,90,363,292,2107,159,66,22756,1667,335,1896,1616,14941,1319,982
8600000US910HH,910HH,ZCTA5 910HH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US910XX,910XX,ZCTA5 910XX,49,0,0,0,0,0,0,0,0,49,0,0,0,0,49,0,0
8600000US91101,91101,ZCTA5 91101,16437,3323,193,26,329,247,2213,97,218,13114,670,118,621,439,9711,650,905
8600000US91103,91103,ZCTA5 91103,26495,6781,749,165,1018,798,3718,146,187,19714,1319,303,1949,1794,12124,1184,1041
8600000US91104,91104,ZCTA5 91104,38247,6082,605,112,815,675,3378,240,257,32165,2650,483,2797,2245,20790,1714,1486
8600000US91105,91105,ZCTA5 91105,10046,631,30,5,3,22,473,24,74,9415,394,97,527,429,5794,1052,1122
8600000US91106,91106,ZCTA5 91106,22866,3176,241,67,142,170,2357,117,82,19690,1158,232,1141,845,14379,1051,884
